t,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20
737100.0,1.984700000000032,3.7105999999999995,6.164899999999989,8.376199999999983,9.989800000000002,11.56940000000003,13.115400000000022,14.564300000000003,16.043199999999956,17.482100000000003,18.821799999999996,20.25290000000001,21.671899999999994,23.101,24.506100000000004,25.879099999999994,27.251100000000008,28.61220000000003,29.9443,31.273599999999988
738001.0,1.9804000000000315,3.7024000000000115,6.152899999999988,8.360599999999977,9.970199999999977,11.546099999999967,13.088399999999979,14.53370000000001,16.009000000000015,17.444500000000005,18.780699999999968,20.20830000000001,21.623899999999992,23.049000000000035,24.451000000000022,25.820600000000013,27.18919999999997,28.54690000000005,29.87579999999997,31.201700000000017
738100.0,1.9774000000000456,3.696799999999996,6.1447,8.349899999999991,9.956999999999994,11.530399999999986,13.0702,14.513099999999952,15.98599999999999,17.41919999999999,18.753199999999993,20.178500000000042,21.591600000000028,23.014099999999985,24.41429999999997,25.781799999999976,27.148199999999974,28.50369999999998,29.83019999999999,31.153899999999965
739001.0,1.9732000000000198,3.68870000000004,6.132799999999975,8.334299999999985,9.9375,11.507200000000012,13.043299999999988,14.48259999999999,15.951999999999998,17.381700000000023,18.712199999999996,20.133999999999958,21.543799999999976,22.962199999999996,24.359399999999994,25.723599999999976,27.086599999999976,28.438699999999983,29.762,31.082300000000032
739100.0,1.970199999999977,3.6829999999999927,6.124599999999987,8.32370000000003,9.924300000000017,11.49150000000003,13.025199999999984,14.462099999999964,15.929100000000005,17.356499999999983,18.684799999999996,20.104299999999967,21.51170000000002,22.927400000000034,24.322799999999972,25.684900000000027,27.04570000000001,28.3956,29.716600000000028,31.03480000000002
740001.0,1.9660000000000082,3.6749000000000365,6.112700000000018,8.3082,9.904899999999998,11.468399999999974,12.998400000000004,14.431699999999978,15.895199999999988,17.319200000000023,18.644000000000005,20.060099999999977,21.464,22.875699999999995,24.268100000000004,25.626900000000035,26.98430000000002,28.330899999999986,29.648599999999988,30.96350000000001
740100.0,1.9628999999999905,3.669300000000021,6.104600000000005,8.29770000000002,9.89179999999999,11.452699999999993,12.9803,14.411299999999983,15.872400000000027,17.294100000000014,18.61669999999998,20.030500000000018,21.43209999999999,22.840900000000033,24.23169999999999,25.588400000000036,26.943600000000004,28.28800000000001,29.603400000000022,30.91609999999997
741001.0,1.9587999999999965,3.661299999999983,6.092700000000036,8.282200000000046,9.872500000000002,11.429699999999968,12.953700000000026,14.380999999999972,15.838599999999985,17.25690000000003,18.576099999999997,19.986400000000003,21.384600000000034,22.788999999999987,24.177200000000028,25.530700000000024,26.882499999999993,28.2235,29.53570000000002,30.845100000000002
741100.0,1.9557999999999538,3.6556999999999675,6.084599999999966,8.27170000000001,9.859399999999994,11.414100000000019,12.935699999999997,14.360700000000008,15.816000000000031,17.231899999999996,18.548900000000003,19.956899999999962,21.352800000000002,22.753899999999987,24.140899999999988,25.4923,26.84190000000001,28.180799999999977,29.490700000000004,30.797900000000027
742001.0,1.951599999999985,3.647700000000043,6.072800000000029,8.25630000000001,9.840199999999982,11.391200000000026,12.909099999999967,14.330600000000004,15.78230000000002,17.19490000000002,18.508399999999995,19.91300000000001,21.305499999999995,22.699400000000026,24.086700000000008,25.434799999999996,26.78109999999998,28.116600000000005,29.42330000000004,30.727199999999982
742100.0,1.948599999999999,3.6421000000000276,6.064700000000016,8.245800000000031,9.827099999999973,11.375699999999995,12.891200000000026,14.310299999999984,15.75970000000001,17.16999999999996,18.481300000000033,19.8836,21.273799999999994,22.66149999999999,24.0505,25.396599999999978,26.740700000000004,28.073999999999955,29.378600000000006,30.680300000000045
